Model,Protocol_1_BPCER@1,Protocol_1_BPCER@10,Protocol_1_BPCER@5,Protocol_1_EER,Protocol_2_BPCER@1,Protocol_2_BPCER@10,Protocol_2_BPCER@5,Protocol_2_EER,Protocol_3_BPCER@1,Protocol_3_BPCER@10,Protocol_3_BPCER@5,Protocol_3_EER,Protocol_4_BPCER@1,Protocol_4_BPCER@10,Protocol_4_BPCER@5,Protocol_4_EER
spatial_channel_iPhone11_16_3,7.865612648221345,2.075098814229249,3.9525691699604746,4.372346654955351,,,,,12.535344015080113,1.903864278982092,3.9773798303487276,4.21559293849586,,,,
spatial_iPhone11_cmbd,11.818181818181818,2.3320158102766797,5.118577075098814,5.126628604889475,,,,,20.226201696512724,1.6965127238454287,3.939679547596607,4.464381483702878,,,,
spatial_channel_iPhone11_4_3,13.893280632411068,2.5691699604743086,4.446640316205533,4.71856243595374,,,,,8.180961357210178,1.0744580584354382,2.808671065032988,3.539590057026438,,,,
spatial_channel_iPhone11_8_7,9.387351778656127,0.849802371541502,1.8577075098814229,2.9355145659493487,,,,,9.180018850141376,2.1489161168708764,3.9585296889726673,4.375168588175186,,,,
pointnet2_simpleview,78.12252964426878,50.19762845849802,61.719367588932805,28.556214317083885,77.13477851083883,50.97078228086711,61.432610744580586,28.03965669894039,80.98020735155514,55.11781338360038,65.25918944392083,31.978185880165142,77.70750988142292,53.04347826086957,61.34387351778656,28.53645147123408
lbp_svm,100.0,98.4006734006734,99.66329966329967,58.907919777485,99.83164983164983,96.54882154882155,98.48484848484848,61.2806354465167,99.83164983164983,97.13804713804713,98.65319865319864,57.83968335570597,99.91582491582491,96.29629629629629,98.82154882154882,57.24601083296734
spatial_channel_iPhone11_depth,11.34387351778656,0.7509881422924901,2.806324110671937,3.6180647050212267,,,,,5.014137606032045,0.9048067860508954,1.8661639962299716,2.783799350717352,,,,
resnet_svm,71.30434782608695,29.288537549407113,45.8300395256917,17.92709705753184,63.01602262016965,23.732327992459943,32.8746465598492,16.15809366044993,70.85768143261075,34.59000942507069,42.69557021677662,20.7116880396805,67.29249011857708,32.76679841897233,45.21739130434783,19.35404772361294
spatial_channel_iPhone11_color,8.932806324110672,3.0632411067193677,4.367588932806324,4.545454545454546,,,,,4.5051837888784165,1.055607917059378,1.9792648444863337,2.624223701038027,,,,
channel_iPhone11_color,8.438735177865613,1.3438735177865613,1.9762845849802373,3.0862977602108037,,,,,7.370405278039585,0.6597549481621112,1.8473138548539114,3.112375720764034,,,,
spatial_channel_iPhone11_4_5_add,,,,,,,,,10.914231856738924,1.2064090480678606,2.714420358152686,3.7180158480818237,,,,
spatial_channel_iPhone11_4_7,14.82213438735178,0.5533596837944664,2.984189723320158,4.12750695359391,,,,,12.384542884071632,1.2064090480678606,2.3185673892554193,3.6897406360177327,,,,
spatial_channel_iPhone11_8_5,8.142292490118578,0.5731225296442688,1.2648221343873518,2.7821695212999558,,,,,7.558906691800188,1.4703110273327051,2.7898209236569276,3.976229463976872,,,,
channel_iPhone11_cmbd,9.308300395256918,2.450592885375494,4.011857707509881,4.1670326452935145,,,,,5.843543826578699,0.7728557964184731,1.9792648444863337,2.962225141772738,,,,
vit_svm,49.34782608695652,16.699604743083004,24.58498023715415,13.146684233640753,75.08011310084825,29.2177191328935,42.03581526861451,17.679100143756127,62.69557021677663,25.749293119698397,38.32233741753063,18.02652665517887,61.85770750988142,27.11462450592885,39.62450592885375,18.305518957692872
