,3D_morph
channel_spatial,53.233577687673986
channel_self,52.10171585080959
spatial_channel_self,49.2196324839111
spatial_self,45.63456047546163
cross_attn,75.68132792710543
channel,76.71406066790186
spatial,61.9246708376968
self,79.02768454123144
