,lmaubo
spatial_channel_12_color,3.3046090806589117
spatial_channel_12_depth,2.932661142998574
channel_12_color,2.9729434550818925
spatial_12_color,6.726299495955465
channel_12_depth,3.098306363218499
spatial_12_depth,4.7935263867117675
